name,variable,Use_Case
bancol 30mg/4mg/325mg/5mg tablet,use0,Treatment of Common cold
bigatra 150mg tablet,use0,Treatment and prevention of Blood clots
broxin oral drops,use0,Treatment of Bacterial infections
bilactam 100mg tablet dt,use0,Treatment of Bacterial infections
but-ease oral suspension mint sugar free,use0, Constipation
bettor 10mg tablet,use0, High cholesterol
bile-forte 150 tablet,use0,Treatment of Primary biliary cirrhosis
bencomet 2.5mg/500mg tablet,use0,Treatment of Type 2 diabetes mellitus
brazo 20mg tablet,use0, Gastroesophageal reflux disease (Acid reflux)
bullzo 600mg tablet,use0,Treatment of Severe bacterial infections
bluclav forte dry syrup,use0,Treatment of Resistant Tuberculosis (TB)
bluclox 250 mg/250 mg capsule,use0,Treatment of Bacterial infections
biolsar 40 hs tablet,use0, Hypertension (high blood pressure)
belycool dsr 30mg/40mg capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
britisan eye drop,use0,Treatment of Ocular hypertension
bactob 80mg injection,use0,Treatment of Bacterial eye infections
bleocol 15iu injection,use0, Cervical cancer
betamet 50mg tablet er,use0,Treatment of Hypertension (high blood pressure)
biotran-m 500mg/250mg tablet,use0,Treatment of Heavy menstrual bleeding
bactimycin 150mg tablet,use0,Treatment of Bacterial infections
boxstar 40 tablet,use0,Treatment of Gout
benim 100mg tablet,use0, Pain relief
biozox k 250mg/50mg/325mg tablet,use0,Treatment of Pain due to muscle spasm
b pam s 0.5mg/10mg tablet,use0,Treatment of Anxiety disorder
betacypro plus syrup,use0, Appetite stimulant
brezone 1000mg injection,use0,Treatment of Bacterial infections
baseican 2% shampoo,use0,Treatment of Fungal infections
bypsin d tablet,use0, Pain relief
bampzis 25mg tablet,use0,Treatment of Anxiety
bepan 40mg injection,use0,Treatment of Heartburn
bzol d 10mg/20mg capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
beatsart 20mg tablet,use0,Treatment of Hypertension (high blood pressure)
brikmox cl bd dry syrup,use0,Treatment of Resistance Tuberculosis (TB)
biopod o 200mg/200mg tablet,use0, Bacterial infections
bactoquin 250mg tablet,use0,Treatment of Bacterial infections
baxofin oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
bactirob az 200mg/250mg tablet,use0,Treatment of Bacterial infections
binax 250mg tablet,use0, Fungal infections
blufen p syrup,use0,Treatment of Fever
betagesic dp 50mg/325mg tablet,use0, Pain relief
bitof oz 200mg/500mg infusion,use0,Treatment of Bacterial & parasitic infections
brumol 250mg oral suspension,use0, Pain relief
brawnem 1gm injection,use0, Severe bacterial infections
brikamol oral suspension,use0, Pain relief
benimox 500 capsule,use0,Treatment of Bacterial infections
betcef o 200mg/200mg tablet,use0,Treatment of Bacterial infections
baxtel 40 tablet,use0,Treatment of Hypertension (high blood pressure)
biopime 500mg injection,use0,Treatment of Severe bacterial infections
briocold oral suspension,use0,Treatment of Sneezing and runny nose due to allergies
beclospas 10mg/250mg tablet,use0,Treatment of Menstrual pain
bardo 2mg syrup,use0,Treatment of Allergic conditions
bygocef 100mg tablet,use0,Treatment of Bacterial infections
bronocef 100mg tablet dt,use0,Treatment of Bacterial infections
b tax 50mg syrup,use0,Treatment of Bacterial infections
bekpod 200mg tablet,use0,Treatment of Bacterial infections
bicaprol 50mg tablet,use0, Prostate cancer
bekly nc cream,use0,Treatment of Skin infections
biokalm 1mg tablet,use0,Treatment of Short term anxiety
brupa plus tablet,use0, Pain relief
b pod 100mg tablet,use0,Treatment of Bacterial infections
bric 200mg tablet dt,use0,Treatment of Bacterial infections
bioglyc 2.6 tablet cr,use0,Treatment of Angina (heart-related chest pain)
begoderm cream,use0,Treatment of Skin infections
bontor 20mg tablet,use0, High cholesterol
buefen 10mg tablet,use0, Muscle relaxation
btcet-m syrup,use0,Treatment of Sneezing and runny nose due to allergies
bromox 250mg capsule,use0,Treatment of Bacterial infections
bact oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
broxin m 200mg/10mg tablet,use0,Treatment and prevention of Chronic obstructive pulmonary disease (COPD)
bleflox oz oral suspension,use0,Treatment of Bacterial & parasitic infections
btcet 5 tablet,use0,Treatment of Allergic conditions
biorox 25mg tablet md,use0,Treatment of Bacterial infections
biodec 25mg injection,use0,Treatment of Post menopausal osteoporosis
belrin-lm kid 2.5mg/4mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
broxtid syrup,use0, Cough
brutrax 1mg tablet,use0, Breast cancer
betamet 100mg tablet xl,use0,Treatment of Hypertension (high blood pressure)
barofol 1500mcg injection,use0, Vitamin B12 deficiency
bromolin 125 mg/4 mg tablet dt,use0,Treatment of Respiratory tract infection
biomycin syrup,use0,Treatment of Bacterial infections
betmox cv 500mg/125mg tablet,use0,Treatment of Bacterial infections
brexrab 20 tablet,use0, Gastroesophageal reflux disease (Acid reflux)
boglee plus tablet sr,use0,Treatment of Type 2 diabetes mellitus
bid 125mg tablet,use0,Treatment of Bacterial infections
body grow molev f cream,use0,Treatment of Skin conditions with inflammation & itching
brypro sr 200 tablet,use0, Hormone replacement therapy
bromline expectorant,use0, Cough with mucus
baclopsy 20mg tablet er,use0, Muscle relaxation
bisafort 5mg tablet,use0,Treatment of Constipation
bestomax iv injection,use0,Treatment of Bacterial infections
bigcef 750mg injection,use0,Treatment of Bacterial infections
borteplus 2mg injection,use0, Multiple myeloma
benformin h s 5 mg/500 mg tablet,use0,Treatment of Type 2 diabetes mellitus
biocip eye/ear drops,use0,Treatment of Bacterial eye / ear infections
barrister 250mg/125mg tablet,use0,Treatment of Bacterial infections
benzathine 500000iu injection,use0,Treatment of Bacterial infections
brimotus eye drop,use0,Treatment of Ocular hypertension
bublex capsule,use0, Bloating
brocoter 66.65 mg/1.5 mg syrup,use0, Cough
b flox fc 200mg tablet,use0,Treatment of Bacterial infections
betmox 500mg tablet,use0,Treatment of Bacterial infections
biolevo 500mg tablet,use0,Treatment of Bacterial infections
beetoc shampoo,use0,Treatment of Dandruff
b tax 50mg tablet,use0,Treatment of Bacterial infections
baxim-lb oral suspension,use0,Treatment of Bacterial infections
bezral 2% soap,use0, Fungal skin infections
biolomin 50mg tablet,use0, Obsessive-compulsive disorder
betahexa 16mg tablet,use0,Treatment of Meniere's disease
biomet gp 1mg/500mg tablet sr,use0,Treatment of Type 2 diabetes mellitus
beclozenate cg cream,use0,Treatment of Skin infections
breaze 10mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
bactofix 400mg tablet dt,use0,Treatment of Bacterial infections
brenkof-ax syrup,use0, Cough
becabloc 40mg tablet,use0,Treatment of Pheochromocytoma
bactimox plus 125mg/125mg tablet dt,use0, Bacterial infections
brexdol-p tablet,use0, Pain relief
brifix 100 dt tablet,use0,Treatment of Bacterial infections
beether 150mg injection,use0, Malaria
bropod o 200mg/200mg tablet,use0, Bacterial infections
biogyl m 100 mg/100 mg syrup,use0,Treatment of Bacterial & parasitic infections
bace p 100mg/500mg tablet,use0, Pain relief
bacotil 100mg tablet,use0,Treatment of Bacterial infections
bactosar 1000mg injection,use0,Treatment of Bacterial infections
benfizole 200mg capsule,use0,Treatment of Fungal infections
binax 500mg tablet,use0, Fungal infections
belact cv dry syrup,use0,Treatment of Resistance Tuberculosis (TB)
bectacef 500mg capsule,use0,Treatment of Bacterial infections
brucef 500mg injection,use0,Treatment of Bacterial infections
blutelmi h 40mg/12.5mg tablet,use0,Treatment of Hypertension (high blood pressure)
biovalp 500mg tablet er,use0,Treatment of Epilepsy/Seizures
bitrova 10 tablet,use0, High cholesterol
bactaz 4000 mg/500 mg injection,use0, Bacterial infections
blumox xl 250mg/250mg/60million spores tablet,use0, Bacterial infections
brumol syrup,use0, Pain relief
bacticlav 250 mg/125 mg tablet,use0,Treatment of Bacterial infections
belmycetine c eye ointment,use0,Treatment of Bacterial eye infections
betawok injection,use0,Treatment of Allergic conditions
bdid th 1000mg tablet,use0,Treatment of Type 2 diabetes mellitus
befix-cv tablet,use0,Treatment of Bacterial infections
biotax dx 200mg/500mg tablet,use0, Bacterial infections
bendiflox oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
brobeat 100mg capsule,use0, Chronic obstructive pulmonary disease (COPD)
bactoflox oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
bebreon syrup,use0, Cough
benxate toothpaste,use0,Treatment of Dental cavities
benlonac-p tablet,use0, Pain relief
benpod 200 tablet dt,use0,Treatment of Bacterial infections
bdaxit 5mg tablet,use0, Kidney cancer
bisomine at 5mg/5mg tablet,use0, Hypertension (high blood pressure)
bromorut d tablet,use0, Pain relief
bleebar-m 500mg/250mg tablet,use0,Treatment of Heavy menstrual bleeding
bax cv 300mg injection,use0,Treatment of Bacterial infections
boostim 125 mg/25 mg injection,use0,Treatment of Bacterial infections
binate 50mg injection,use0,Treatment of Post menopausal osteoporosis
brivafix 25 tablet,use0, Epilepsy/Seizures
bestocef 100mg tablet,use0,Treatment of Bacterial infections
benidoc 4 tablet,use0, Hypertension (high blood pressure)
bilos 25 tablet,use0,Treatment of Hypertension (high blood pressure)
bac-ace 50mg/400mg tablet,use0,Treatment of Pain due to muscle spasm
benzydol 10 mg/2 mg tablet,use0, Schizophrenia
betagesic syrup,use0, Pain relief
brin 150mg tablet,use0,Prevention of Angina (heart-related chest pain)
betaclox d 250mg/250mg capsule,use0,Treatment of Bacterial infections
blacin 400mg tablet,use0,Treatment of Bacterial infections
bejoy 16mg tablet,use0,Treatment of Meniere's disease
brucef 50mg dry syrup,use0,Treatment of Bacterial infections
b oppo 0.1% eye drop,use0,Treatment of Allergic conditions
baxtel 40h tablet,use0,Treatment of Hypertension (high blood pressure)
betaflam ointment,use0,Treatment of Allergic skin conditions
bacticef o syrup,use0,Treatment of Bacterial infections
bestopod 50mg/5ml dry syrup,use0,Treatment of Bacterial infections
bronocef 200mg tablet,use0,Treatment of Bacterial infections
bugderm cream,use0,Treatment of Skin infections
betapress 50mg tablet,use0,Treatment of Hypertension (high blood pressure)
becet 10mg tablet,use0,Treatment of Allergic conditions
bemet-g 1mg/500mg tablet,use0,Treatment of Type 2 diabetes mellitus
byeworm 200mg syrup,use0,Treatment of Parasitic infections
betaseptic lotion,use0,Treatment and prevention of Wound infection
bamlo at 5mg/50mg tablet,use0,Treatment of Hypertension (high blood pressure)
beta amlol 5 mg/50 mg tablet,use0,Treatment of Hypertension (high blood pressure)
bestonim c cream,use0,Treatment of Skin infections
brutacef az kid 100 mg/125 mg tablet,use0,Treatment of Bacterial infections
bromaid eye drop,use0, Post-operative eye pain and inflammation
baret l 5mg tablet,use0,Treatment of Allergic conditions
byetus a syrup,use0, Cough
bcuff dx syrup,use0, Dry cough
betapram plus 0.5mg/10mg tablet,use0,Treatment of Anxiety disorder
brofar-lc tablet sr,use0, Asthma
brilivog-gm 0.2/2 tablet sr,use0,Treatment of Type 2 diabetes mellitus
brohit 0.09% eye drop,use0, Post-operative eye pain and inflammation
betagrand tr 40mg capsule,use0,Treatment of Pheochromocytoma
biclo sp 100mg/325mg/15mg tablet,use0, Pain relief
bipnolol plus 40mg/5mg tablet,use0,Prevention of Migraine
bpmet 50mg tablet xl,use0,Treatment of Hypertension (high blood pressure)
bisacort d 6mg tablet,use0,Treatment of Inflammatory conditions
bronchovin m syrup,use0,Treatment of Cough
beczole plus cream,use0,Treatment of Skin infections
bcmox 500mg capsule,use0,Treatment of Bacterial infections
bisomine 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
beprazol 20mg tablet,use0, Gastroesophageal reflux disease (Acid reflux)
bactofull 1000mg/500mg injection,use0,Treatment of Bacterial infections
benipath 8 tablet,use0, Hypertension (high blood pressure)
biobid-oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
biopyrin xf tablet,use0, Pain relief
boliflame-d tablet,use0,Treatment of Pain due to muscle spasm
benulide 200mg tablet,use0, Pain relief
beworm 200mg syrup,use0,Treatment of Parasitic infections
blupred tablet,use0,Treatment of Rheumatic disorder
benimol 650mg tablet,use0, Pain relief
blockuf blue syrup,use0, Cough with mucus
biofix 100mg tablet dt,use0,Treatment of Bacterial infections
biladoz 20mg tablet,use0,Treatment of Allergic conditions
bp act 50mg tablet,use0,Treatment of Hypertension (high blood pressure)
binflox 200mg tablet,use0,Treatment of Bacterial infections
biofix cv 200mg/125mg tablet,use0,Treatment of Bacterial infections
bet q vas 10mg tablet,use0, High cholesterol
biclox d capsule,use0,Treatment of Bacterial infections
barither 75mg injection,use0, Malaria
betawin lc 5mg tablet,use0,Treatment of Allergic conditions
bicox forte 200mg/150mg tablet,use0,Treatment of Tuberculosis (TB)
biosim 10mg tablet,use0, High cholesterol
bestogesic sps injection,use0,Treatment of Abdominal pain
blugest 200 soft gelatin capsule,use0, Hormone replacement therapy
broncure 2mg/100mg tablet,use0,Treatment of Asthma
biocristin aq 1mg injection,use0, Breast cancer
bactimox 250mg tablet,use0,Treatment of Bacterial infections
biopril 2.5 tablet,use0, Hypertension (high blood pressure)
binex z 150mg/750mg/225mg tablet,use0, Tuberculosis (TB)
bidspas tablet,use0, Abdominal pain
buceff cv 200mg/125mg tablet,use0,Treatment of Bacterial infections
bye vom forte 10mg/10mg/2.5mg tablet,use0,Treatment of Nausea and vomiting in pregnancy
blc k eye drop,use0, Eye infection
binacid 20mg capsule,use0,Treatment of Heartburn
biocip 250mg tablet,use0,Treatment of Bacterial infections
bromeheal 90mg/48mg/100mg tablet,use0, Pain relief
butaflox oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
b pam 1mg tablet,use0,Treatment of Anxiety disorder
beecital es 10mg tablet,use0,Treatment of Depression
bencef-t injection,use0, Bacterial infections
bromlid 600mg tablet,use0,Treatment of Severe bacterial infections
bisotril h 2.5mg/6.5mg tablet,use0, Hypertension (high blood pressure)
brigaba sr 75 tablet,use0,Treatment of Neuropathic pain
bzole tablet,use0,Treatment of Fungal infections
bexodin 120mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
bactikill 100mg tablet,use0,Treatment of Bacterial infections
blutax 500mg injection,use0,Treatment of Bacterial infections
belhist 8 tablet,use0,Treatment of Meniere's disease
becozol cream,use0,Treatment of Skin infections
bofloden o syrup,use0,Treatment of Bacterial & parasitic infections
brismox cv 500mg/125mg tablet,use0,Treatment of Bacterial infections
belofen-p oral suspension,use0,Treatment of Fever
blumeth 8mg tablet,use0,Treatment of Rheumatic disorder
betadol m oral suspension,use0, Pain relief
brotzu 250mg tablet,use0,Treatment of Bacterial infections
bronet 100mg capsule,use0, Chronic obstructive pulmonary disease (COPD)
bartriax 1000mg injection,use0,Treatment of Bacterial infections
bethro 250mg tablet,use0,Treatment of Bacterial infections
biopip tz 4000mg/500mg injection,use0, Bacterial infections
bectwell 500mg tablet,use0,Treatment of Bacterial infections
bensil i oral suspension,use0,Treatment of Worm infections
bancet 10mg tablet,use0,Treatment of Allergic conditions
benkem suspension,use0,Treatment of Parasitic infections
basebard 10mg tablet,use0, Pain relief
biotam 500mg tablet,use0,Treatment of Epilepsy/Seizures
belfix-dc tablet,use0, Bacterial infections
beristat 80mg tablet,use0,Treatment of Gout
benina 8mg tablet,use0, Hypertension (high blood pressure)
bosenat 125 tablet,use0, Pulmonary arterial hypertension (PAH)
binex z 50mg/300mg/100mg tablet dt,use0, Tuberculosis (TB)
bolanz 20mg tablet,use0,Treatment of Schizophrenia
bmxclav 500 mg/125 mg tablet,use0,Treatment of Bacterial infections
busag 0.5mg injection,use0, Prostate cancer
browin jun expectorant,use0,Treatment of Cough with mucus
betafit am  tablet 5 mg/25 mg,use0,Treatment of Hypertension (high blood pressure)
banworm 200mg oral suspension,use0,Treatment of Parasitic infections
beemox 250mg capsule,use0,Treatment of Bacterial infections
blowin plus 100mg/500mg tablet,use0, Pain relief
bio clav 1000mg/200mg injection,use0,Treatment of Bacterial infections
bupain kid 100mg/125mg tablet,use0, Pain relief
benikite 4mg tablet,use0, Hypertension (high blood pressure)
buson 10mg tablet,use0, Anxiety disorder
bourex-d tablet,use0,Treatment of Irritable bowel syndrome
betar 16 tablet,use0,Treatment of Meniere's disease
blaz ap 100mg/325mg tablet,use0, Pain relief
befix 100mg tablet dt,use0,Treatment of Bacterial infections
betal c 1.53gm syrup,use0,Treatment of Gout
bdfoie 4mg capsule,use0, Thyroid cancer
buproking 150mg tablet sr,use0, Depression
blefate 1000mg syrup,use0,Treatment of Intestinal ulcers
betalact cv 500mg/125mg tablet,use0,Treatment of Bacterial infections
bactiquine 500mg tablet,use0,Treatment of Bacterial infections
bxicom lb 200mg tablet,use0, Bacterial infections
bectodine liquid,use0,Treatment and prevention of Wound infection
bonumoflox tablet,use0,Treatment of Bacterial infections
bludrox lb 250 mg/60 mg tablet,use0, Bacterial infections
bay mf 850mg tablet,use0,Treatment of Type 2 diabetes mellitus
bacticin 250mg injection,use0, Bacterial infections
blemon-l syrup,use0,Treatment of Sneezing and runny nose due to allergies
bluflox 50mg dry syrup,use0,Treatment of Bacterial infections
biocip 200mg infusion,use0,Treatment of Bacterial infections
boostim 500 mg/100 mg injection,use0,Treatment of Bacterial infections
benzola 400mg suspension,use0,Treatment of Parasitic infections
belfix az 200mg/250mg tablet,use0, Bacterial infections
bio throx 150mg tablet,use0,Treatment of Bacterial infections
bofloden 400mg tablet,use0,Treatment of Bacterial infections
boxer 100mg tablet,use0,Treatment of Bacterial infections
bc mox 500mg capsule,use0,Treatment of Bacterial infections
bakacin 500mg injection,use0, Bacterial infections
browik 100mg capsule,use0, Chronic obstructive pulmonary disease (COPD)
beritus am syrup,use0, Cough
blutaz 4000mg/500mg injection,use0, Bacterial infections
borncal d3 nano shot (5ml each) mango sugar free,use0,Treatment of Vitamin D deficiency
bicilin kid tablet,use0, Bacterial infections
beten 25mg tablet,use0,Treatment of Hypertension (high blood pressure)
bodimox cv 500mg/125mg tablet,use0,Treatment of Bacterial infections
bactrocin 1000mg tablet,use0,Treatment of Bacterial infections
bt clav 500mg/125mg tablet,use0,Treatment of Bacterial infections
batlin 10mg tablet,use0, Muscle relaxation
broxtar-br syrup,use0,Treatment of Cough with mucus
biopride 25mg tablet,use0, Gastroesophageal reflux disease (Acid reflux)
biotocin injection,use0, Induction of labour
biodase d 50 mg/10 mg tablet,use0, Pain relief
b amlol 5 mg/50 mg tablet,use0,Treatment of Hypertension (high blood pressure)
bestodol 50mg injection,use0, Moderate to severe pain
bilosar 50 mg/12.5 mg tablet,use0, Hypertension (high blood pressure)
bensodyl 7.5mg/6mg mouth wash,use0,Treatment of Inflammation of gums
bestopride 25mg tablet,use0, Gastroesophageal reflux disease (Acid reflux)
betorist 24 mg tablet,use0,Treatment of Meniere's disease
b-zed plus 6mg/400mg tablet,use0,Treatment of Worm infections
betadeaf 16mg tablet,use0,Treatment of Meniere's disease
bilbay oral solution,use0,Treatment of Allergic conditions
baymox 500mg capsule,use0,Treatment of Bacterial infections
bacef 500mg injection,use0,Treatment of Bacterial infections
beelev 250mg tablet,use0,Treatment of Bacterial infections
betastin 16mg tablet,use0,Treatment of Meniere's disease
blecef-lb tablet,use0, Bacterial infections
bixi lb tablet,use0, Bacterial infections
batorax 400mg tablet,use0,Treatment of Hepatic encephalopathy
beecob p 750mcg/75mg capsule,use0,Treatment of Neuropathic pain
baricind d eye/ear drops,use0,Treatment of Bacterial infections
bid lb 500mg/60mg capsule,use0, Bacterial infections
bpace h 2.5 mg/12.5 mg tablet,use0, Hypertension (high blood pressure)
bpcure 50mg tablet,use0,Treatment of Hypertension (high blood pressure)
breflam 150mg tablet,use0,Treatment of Bacterial infections
benocio pd 30mg/40mg capsule sr,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
brodkwik 4.5 injection,use0, Bacterial infections
betafit 25mg tablet,use0,Treatment of Hypertension (high blood pressure)
biolsar 20 tablet,use0, Hypertension (high blood pressure)
becoride 250mcg inhaler,use0,Treatment of Asthma
baxin 125 mg/125 mg syrup,use0,Treatment of Bacterial infections
busuphan 2mg tablet,use0, Blood cancer (Chronic myeloid leukaemia)
beniq 8mg tablet,use0, Hypertension (high blood pressure)
bipir 1200mg tablet,use0, Alzheimer's disease
betamet 12.5mg tablet xl,use0,Treatment of Hypertension (high blood pressure)
bekpod 50 dry syrup,use0,Treatment of Bacterial infections
boncart powder,use0, Osteoarthritis
bronyl syrup,use0, Cough
balocad 100mg tablet,use0, Bacterial infections
bambudil 5mg oral solution,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
bendiflam sp 100mg/325mg/15mg tablet,use0, Pain relief
bender 200mg suspension,use0,Treatment of Parasitic infections
belosix 80mg tablet,use0,Treatment of Gout
brodec 50 injection,use0,Treatment of Post menopausal osteoporosis
betkryp 16mg tablet,use0,Treatment of Meniere's disease
bendicop 4mg tablet,use0, Hypertension (high blood pressure)
belay tablet,use0, Allergic conditions
boon cold plus tablet,use0,Treatment of Common cold
biofixon 200mg tablet dt,use0,Treatment of Bacterial infections
belon depot 25mg injection,use0,Treatment of Post menopausal osteoporosis
bronchosoft-dmr expectorant,use0,Treatment of Dry cough
bistropan 40mg tablet,use0,Treatment of Heartburn
btpod 100mg tablet,use0,Treatment of Bacterial infections
bremox lb 250mg capsule,use0, Bacterial infections
bro mega 200mg tablet sr,use0, Chronic obstructive pulmonary disease (COPD)
brimoron t eye drop,use0,Treatment of Ocular hypertension
bitrab d 30mg/20mg capsule sr,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
bruceta 100mg/125mg suspension,use0, Pain relief
benzole suspension,use0,Treatment of Worm infections
bentis ds 200mg/400mg tablet,use0,Treatment of Bacterial infections
bitof oz 200mg/500mg tablet,use0,Treatment of Bacterial & parasitic infections
bpride 2sr tablet,use0,Treatment of Type 2 diabetes mellitus
bdterbin 250mg tablet,use0, Fungal infections
belodi 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
bestamlo 5mg tablet,use0,Treatment of Hypertension (high blood pressure)
biopod 100mg tablet,use0,Treatment of Bacterial infections
brudex eye drop,use0,Treatment of Allergic conjunctivitis
berihep 150mg tablet,use0,Treatment of Primary biliary cirrhosis
besartan 20mg tablet,use0,Treatment of Hypertension (high blood pressure)
b-lanso 30mg capsule,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
bomcold tablet,use0,Treatment of Common cold
beumox cv 500mg/125mg tablet,use0, Bacterial infections
balofox 100mg tablet,use0, Bacterial infections
bisomend 5 tablet,use0,Treatment of Hypertension (high blood pressure)
barbinol 60mg tablet,use0, Epilepsy/Seizures
brenlax tablet,use0,Treatment of Pain due to muscle spasm
birlotib 100 tablet,use0, Non-small cell lung cancer
bycold syrup,use0,Treatment of Common cold
bicox forte kid 100mg/100mg tablet,use0,Treatment of Tuberculosis (TB)
busag 5mg injection,use0, Prostate cancer
b-flox 50mg oral suspension,use0,Treatment of Bacterial infections
bacloford 25mg tablet,use0, Muscle relaxation
benikite 8mg tablet,use0, Hypertension (high blood pressure)
bolinz 2.5mg tablet,use0,Treatment of Schizophrenia
bronq am syrup,use0, Cough with mucus
bonsartan 40mg tablet,use0,Treatment of Hypertension (high blood pressure)
binilon 30mg/500mg tablet,use0,Treatment of Headache
bendos 200mg syrup,use0,Treatment of Parasitic infections
bypol 250 tablet,use0,Treatment of Epilepsy/Seizures
betagesic sr 1000mg tablet er,use0, Pain relief
bertin 1% cream,use0, Fungal skin infections
bigma 100mg injection,use0, Moderate to severe pain
brotuxx b syrup,use0,Treatment of Cough
bact s 500mg/500mg injection,use0,Treatment of Bacterial infections
brisgra 100mg tablet,use0,Treatment of Erectile dysfunction
bevaxizab 400mg injection,use0, Cancer of colon and rectum
borphen 30mg tablet,use0, Epilepsy/Seizures
benofine 8mg tablet,use0, Hypertension (high blood pressure)
blisfer 100mg injection,use0,Treatment of Iron deficiency anemia
blispan d 10mg/40mg tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
blockcid l 75mg/10mg tablet,use0, Constipation
biopime 1000mg injection,use0,Treatment of Severe bacterial infections
banin 50mg dry syrup,use0,Treatment of Bacterial infections
bacinor 400mg tablet,use0, Bacterial infections
bigovas 500mg tablet sr,use0,Treatment of Type 2 diabetes mellitus
bolanz 15mg tablet,use0,Treatment of Schizophrenia
bigtuss syrup,use0, Cough
boliflame injection,use0, Pain relief
bidfree 800mg tablet,use0,Treatment and prevention of Chronic obstructive pulmonary disease (COPD)
bakolip 10mg tablet,use0,Treatment of High cholesterol
betadoth 25mg tablet,use0,Treatment of Anxiety disorder
bluxone 1000mg injection,use0,Treatment of Bacterial infections
besure-lb tablet,use0,Treatment of Bacterial infections
brizcip 500mg tablet,use0,Treatment of Bacterial infections
biator 20 tablet,use0, High cholesterol
blisderms ointment,use0, Eczema
biclonac 75mg injection,use0, Pain relief
betabus m 25mg tablet,use0,Treatment of Hypertension (high blood pressure)
blazo-oz syrup,use0,Treatment of Bacterial & parasitic infections
beslzine tablet,use0,Treatment of Allergic conditions
bonvid 150 tablet,use0, Osteoporosis
benzydol 1.5 mg/2 mg tablet,use0, Schizophrenia
betaprime am 5mg/25mg tablet pr,use0,Treatment of Hypertension (high blood pressure)
becsone n cream,use0,Treatment of Skin infections
bpc at 5 mg/50 mg tablet,use0,Treatment of Hypertension (high blood pressure)
bogli 0.2mg tablet,use0,Treatment of Type 2 diabetes mellitus
benrik 400mg tablet,use0,Treatment of Parasitic infections
bufrix 500mg tablet,use0,Treatment of Bacterial infections
beetan am 5mg/50mg tablet,use0,Treatment of Hypertension (high blood pressure)
barco-d 10mg/40mg tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
bitvox lb 500mg tablet,use0,Treatment of Bacterial infections
bronfix 200 lb tablet dt,use0, Bacterial infections
bitol 800mg tablet,use0, Tuberculosis (TB)
beta 50mg tablet xl,use0,Treatment of Hypertension (high blood pressure)
blusom d 30mg/40mg capsule sr,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
bactocep 250mg capsule,use0,Treatment of Bacterial infections
bolister d 50mg tablet,use0,Treatment of Post menopausal osteoporosis
b zone 500mg injection,use0,Treatment of Bacterial infections
braclin 150mg capsule,use0,Treatment of Bacterial infections
barb d 15mg/10mg tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
brotis dm syrup,use0,Treatment of Dry cough
bacloden 10 tablet,use0, Muscle relaxation
bendiflam-mr tablet,use0,Treatment of Muscular pain
bencef 250mg injection,use0,Treatment of Bacterial infections
beryflox tablet,use0,Treatment of Bacterial infections
betmox 250mg tablet dt,use0,Treatment of Bacterial infections
bonodec 50mg injection,use0,Treatment of Post menopausal osteoporosis
brocid 20mg capsule,use0,Treatment of Heartburn
bevnexxa 400mg injection,use0, Cancer of colon and rectum
bilaroot m 20mg/10mg tablet,use0,Treatment of Allergic conditions
bioxime ox 200mg/200mg tablet,use0,Treatment of Bacterial infections
biorinol 100mg tablet,use0,Treatment of Gout
bethro 500mg tablet,use0,Treatment of Bacterial infections
biogesic  kid 50mg tablet,use0, Pain relief
bactum c 1000mg/500mg injection,use0,Treatment of Bacterial infections
breter l syrup,use0,Treatment of Cough with mucus
beclin 600mg injection,use0,Treatment of Bacterial infections
bromolin rediuse liquid,use0, Respiratory tract infection
bacticure 750mg injection,use0,Treatment of Bacterial infections
brexlin duo 625 tablet,use0, Bacterial infections
bisflu 150mg tablet,use0,Treatment of Fungal infections
benflox tz 400mg/600mg tablet,use0,Treatment of Diarrhea
brexlin cv 200 dry syrup,use0,Treatment of Resistance Tuberculosis (TB)
blepod 100mg dry syrup,use0,Treatment of Bacterial infections
brenac-mr tablet,use0,Treatment of Muscular pain
betacetam 500mg syrup,use0, Alzheimer's disease
betagesic ep 60mg/325mg tablet,use0, Pain relief
brogest 200mg soft gelatin capsule,use0, Hormone replacement therapy
biovon 100mg tablet sr,use0, Pain relief
